"","Reporting.country","Counterparty.country","X2018.Q2"
"2527","Japan","United Kingdom",194337.896
"2528","Mexico","United Kingdom",6.066
"2529","Netherlands","United Kingdom",88029.558
"2530","Panama","United Kingdom",101
"2531","Portugal","United Kingdom",3125.131
"2532","South Korea","United Kingdom",7106.579
"2533","Spain","United Kingdom",120809.622
"2534","Switzerland","United Kingdom",158008.637
"2535","Turkey","United Kingdom",3474.723
"2536","United Kingdom","United Kingdom",410635
"2537","United States","United Kingdom",324693
"2538","Australia","United States",62913.037
"2539","Austria","United States",11432.699
"2540","Belgium","United States",12424
"2541","Brazil","United States",21067
"2542","Canada","United States",352125.067
"2543","Chile","United States",3525.728
"2544","Chinese Taipei","United States",39308
"2545","Denmark","United States",13263
"2546","Finland","United States",254
"2547","France","United States",306830
"2548","Germany","United States",309493
"2549","Greece","United States",1588
"2550","India","United States",61670.421
"2551","Ireland","United States",6670.865
"2552","Italy","United States",45385.728
"2553","Japan","United States",1007170.077
"2554","Mexico","United States",3680.239
"2555","Netherlands","United States",116914.585
"2556","Panama","United States",8876
"2557","Portugal","United States",5207.091
"2558","South Korea","United States",49547.274
"2559","Spain","United States",75483.207
"2560","Sweden","United States",21705.53
"2561","Switzerland","United States",290629.689
"2562","Turkey","United States",2453.273
"2563","United Kingdom","United States",608386
"2564","United States","United States",558060
"2565","Australia","Uruguay",31.621
"2566","Austria","Uruguay",1.042
"2567","Belgium","Uruguay",3
"2568","Denmark","Uruguay",17
"2569","France","Uruguay",640
"2570","Ireland","Uruguay",14.681
"2571","Japan","Uruguay",943.8
"2572","Spain","Uruguay",7602.07
"2573","Sweden","Uruguay",99.784
"2574","Switzerland","Uruguay",572.02
"2575","United Kingdom","Uruguay",1351
"2576","Austria","US Pacific Islands",0.529
"2577","United Kingdom","US Pacific Islands",5
"2578","Australia","Uzbekistan",0.008
"2579","Austria","Uzbekistan",26.333
"2580","Belgium","Uzbekistan",2
"2581","France","Uzbekistan",33
"2582","Italy","Uzbekistan",31.864
"2583","Japan","Uzbekistan",93.6
"2584","Spain","Uzbekistan",4.417
"2585","Sweden","Uzbekistan",219.436
"2586","Switzerland","Uzbekistan",225.973
"2587","Turkey","Uzbekistan",63.134
"2588","United Kingdom","Uzbekistan",8
"2589","Australia","Vanuatu",77.427
"2590","Chinese Taipei","Vanuatu",32
"2591","France","Vanuatu",10
"2592","Switzerland","Vanuatu",46.834
"2593","United Kingdom","Vanuatu",4
"2594","Australia","Vatican City State",0.536
"2595","France","Vatican City State",2
"2596","Ireland","Vatican City State",0.162
"2597","Switzerland","Vatican City State",501.222
"2598","United Kingdom","Vatican City State",17
"2599","Australia","Venezuela",0.248
"2600","Austria","Venezuela",0.935
"2601","Canada","Venezuela",19.252
"2602","Chinese Taipei","Venezuela",1
"2603","Denmark","Venezuela",5
"2604","France","Venezuela",992
"2605","Japan","Venezuela",103.9
"2606","Mexico","Venezuela",20
"2607","Portugal","Venezuela",55.526
"2608","Spain","Venezuela",1607.198
"2609","Sweden","Venezuela",60.169
"2610","Switzerland","Venezuela",872.408
"2611","United Kingdom","Venezuela",174
"2612","Australia","Vietnam",838.549
"2613","Austria","Vietnam",332.698
"2614","Belgium","Vietnam",45
"2615","Canada","Vietnam",43.418
"2616","Chinese Taipei","Vietnam",4806
"2617","Denmark","Vietnam",16
"2618","France","Vietnam",4088
"2619","Ireland","Vietnam",0.014
"2620","Italy","Vietnam",509.94
"2621","Japan","Vietnam",14017.206
"2622","Spain","Vietnam",27.693
"2623","Sweden","Vietnam",155.126
"2624","Switzerland","Vietnam",1491.671
"2625","Turkey","Vietnam",0.005
"2626","United Kingdom","Vietnam",7256
"2627","Australia","Wallis and Futuna",0.041
"2628","France","Wallis and Futuna",43
"2629","Australia","West Indies UK",1597.91
"2630","Austria","West Indies UK",312.212
"2631","Belgium","West Indies UK",38
"2632","Canada","West Indies UK",4320.491
"2633","Chinese Taipei","West Indies UK",12989
"2634","Denmark","West Indies UK",45
"2635","France","West Indies UK",5558
"2636","Greece","West Indies UK",646
"2637","Ireland","West Indies UK",3.935
"2638","Italy","West Indies UK",531.32
"2639","Spain","West Indies UK",3403.389
"2640","Sweden","West Indies UK",272.232
"2641","Switzerland","West Indies UK",132641.572
"2642","Turkey","West Indies UK",1388.005
"2643","United Kingdom","West Indies UK",15705
"2644","Australia","Yemen",1.013
"2645","Austria","Yemen",0.008
"2646","Chinese Taipei","Yemen",2
"2647","France","Yemen",380
"2648","Sweden","Yemen",0.194
"2649","Switzerland","Yemen",0.056
"2650","Turkey","Yemen",0.001
"2651","United Kingdom","Yemen",110
"2652","Australia","Zambia",4.515
"2653","Austria","Zambia",0.009
"2654","Belgium","Zambia",5
"2655","Denmark","Zambia",1
"2656","France","Zambia",228
"2657","Greece","Zambia",1
"2658","Ireland","Zambia",0.366
"2659","Japan","Zambia",16.2
"2660","Spain","Zambia",0.279
"2661","Sweden","Zambia",199.182
"2662","Switzerland","Zambia",105.302
"2663","United Kingdom","Zambia",1343
"2664","Australia","Zimbabwe",2.358
"2665","Austria","Zimbabwe",0.202
"2666","Belgium","Zimbabwe",1
"2667","France","Zimbabwe",24
"2668","Ireland","Zimbabwe",0.401
"2669","Spain","Zimbabwe",0.295
"2670","Sweden","Zimbabwe",0.473
"2671","Switzerland","Zimbabwe",57.092
"2672","United Kingdom","Zimbabwe",288
